id,question,reference_answer,generated_answer,retrieved_contexts,retrieved_sources,retrieval_distances,tfidf_mode,tfidf_candidate_sources,tfidf_lexical_ranking,retrieval_time_seconds,generation_time_seconds,faithfulness,faithfulness_error,faithfulness_time_seconds,factual_correctness,factual_correctness_error,factual_correctness_time_seconds,semantic_similarity,semantic_similarity_error,semantic_similarity_time_seconds,question_time_seconds,evaluator_model,gpt56_faithfulness,gpt56_factual_correctness,gpt56_answer_relevancy,gpt56_factual_band,gpt56_judgment_note,qwen_minus_gpt56_faithfulness,qwen_minus_gpt56_factual_correctness
q001,A full-time employee is German but their employment contract is based in Pakistan. How much annual leave does the company policy give them each year?,"24 working days, because entitlement follows contractual work location rather than nationality.",The company policy gives a full-time German employee with a contract in Pakistan **24 working days of paid annual leave** per calendar year.,"[""# FakeCompanyABC Annual Leave Policy\n\n## 1. Purpose\n\nThis policy defines annual paid leave, carry-forward rules, and the process for requesting leave at FakeCompanyABC.\n\n## 2. Annual leave entitlement\n\nAnnual leave depends on the employee's contractual work location.\n\n### Germany\n\nFull-time employees whose contractual work location is Germany receive **30 working days of paid annual leave per calendar year**.\n\n### Pakistan\n\nFull-time employees whose contractual work location is Pakistan receive **24 working days of paid annual leave per calendar year**.\n\nPart-time employees receive annual leave on a pro-rata basis according to their contracted working days.\n\n## 3. Carry-forward"", ""## 7. Examples\n\n- An employee contracted in Germany with 8 unused days at year-end may carry forward only 5 days.\n- An employee contracted in Pakistan with 3 unused days may carry all 3 days forward.\n- A Germany-based employee temporarily working from Pakistan still follows the Germany annual-leave entitlement unless the employment contract is changed."", ""Unused annual leave remains governed by **Annual Leave Policy HR-LEV-0101**, including its carry-forward rules.\n\n## 7. Examples\n\n- An eligible full-time employee with 18 months of service may receive up to 5 company-paid transition days.\n- An employee with only 8 months of continuous service is not eligible for the company-paid transition days under this policy, although statutory rights may still apply.\n- A returning employee requesting temporary remote work must also consider HR-RMT-0204.""]","[""annual_leave.md"", ""annual_leave.md"", ""parental_leave.md""]","[0.3526400923728943, 0.41516444087028503, 0.5858407020568848]",tfidf_filtered,"[""annual_leave.md"", ""parental_leave.md""]","[{""source"": ""annual_leave.md"", ""score"": 0.395027}, {""source"": ""parental_leave.md"", ""score"": 0.221858}, {""source"": ""remote_work.md"", ""score"": 0.036655}, {""source"": ""expense_policy.md"", ""score"": 0.005959}, {""source"": ""travel_policy.md"", ""score"": 0.0}]",0.843,4.379,0.0,,21.936,1.0,,15.804,0.7554543786887208,,0.109,43.073,GPT-5.6 Sol,1.0,1.0,1.0,correct,Correct 24-day Pakistan-contract entitlement; fully supported by retrieved annual-leave policy.,-1.0,0.0
q002,"A Germany-contracted employee spends several months temporarily working from Pakistan. Without a contract change, which annual-leave entitlement continues to apply?",The Germany entitlement continues to apply: 30 working days per calendar year.,The annual-leave entitlement continues to apply as per the employee's contractual work location. A Germany-contracted employee who temporarily works from Pakistan without a contract change would carry forward the 30 working days of annual leave from Germany.,"[""## 7. Examples\n\n- An employee contracted in Germany with 8 unused days at year-end may carry forward only 5 days.\n- An employee contracted in Pakistan with 3 unused days may carry all 3 days forward.\n- A Germany-based employee temporarily working from Pakistan still follows the Germany annual-leave entitlement unless the employment contract is changed."", ""# FakeCompanyABC Annual Leave Policy\n\n## 1. Purpose\n\nThis policy defines annual paid leave, carry-forward rules, and the process for requesting leave at FakeCompanyABC.\n\n## 2. Annual leave entitlement\n\nAnnual leave depends on the employee's contractual work location.\n\n### Germany\n\nFull-time employees whose contractual work location is Germany receive **30 working days of paid annual leave per calendar year**.\n\n### Pakistan\n\nFull-time employees whose contractual work location is Pakistan receive **24 working days of paid annual leave per calendar year**.\n\nPart-time employees receive annual leave on a pro-rata basis according to their contracted working days.\n\n## 3. Carry-forward"", ""All annual-leave requests require approval from the employee's direct manager.\n\n## 5. Probation\n\nEmployees may request annual leave during probation, but approval depends on business needs and manager approval. The annual entitlement itself is not reduced because an employee is on probation.\n\n## 6. Important interpretation note\n\nThe annual entitlement is based on the employee's **contractual work location**, not nationality, citizenship, or the country from which the employee happens to work temporarily.\n\n## 7. Examples""]","[""annual_leave.md"", ""annual_leave.md"", ""annual_leave.md""]","[0.3185916543006897, 0.3961045742034912, 0.5677179098129272]",tfidf_filtered,"[""annual_leave.md""]","[{""source"": ""annual_leave.md"", ""score"": 0.428393}, {""source"": ""parental_leave.md"", ""score"": 0.199378}, {""source"": ""remote_work.md"", ""score"": 0.0497}, {""source"": ""travel_policy.md"", ""score"": 0.0049}, {""source"": ""expense_policy.md"", ""score"": 0.0}]",0.058,2.144,1.0,,16.671,0.0,,14.493,0.8802871309751024,,0.119,33.486,GPT-5.6 Sol,0.75,1.0,1.0,correct,"Correctly identifies the Germany 30-day entitlement, though 'carry forward the 30 working days' is imprecise wording because carry-forward is a separate concept.",0.25,-1.0
q003,An employee finishes the year with 8 unused leave days. What is the maximum number the policy lets them take into the next year?,5 days.,The maximum number the policy lets an employee take into the next year is 5 unused annual-leave days.,"[""## 3. Carry-forward\n\nEmployees may carry forward a maximum of **5 unused annual-leave days** into the following calendar year.\n\nCarried-forward leave must normally be used by **31 March** of the following year. Any remaining carried-forward leave expires after that date unless HR has approved an exception in writing.\n\n## 4. Leave requests\n\nLeave of **5 consecutive working days or fewer** should normally be requested at least **5 working days in advance**.\n\nLeave of **more than 5 consecutive working days** should normally be requested at least **3 weeks in advance**.\n\nAll annual-leave requests require approval from the employee's direct manager.\n\n## 5. Probation"", ""## 7. Examples\n\n- An employee contracted in Germany with 8 unused days at year-end may carry forward only 5 days.\n- An employee contracted in Pakistan with 3 unused days may carry all 3 days forward.\n- A Germany-based employee temporarily working from Pakistan still follows the Germany annual-leave entitlement unless the employment contract is changed."", ""# FakeCompanyABC Annual Leave Policy\n\n## 1. Purpose\n\nThis policy defines annual paid leave, carry-forward rules, and the process for requesting leave at FakeCompanyABC.\n\n## 2. Annual leave entitlement\n\nAnnual leave depends on the employee's contractual work location.\n\n### Germany\n\nFull-time employees whose contractual work location is Germany receive **30 working days of paid annual leave per calendar year**.\n\n### Pakistan\n\nFull-time employees whose contractual work location is Pakistan receive **24 working days of paid annual leave per calendar year**.\n\nPart-time employees receive annual leave on a pro-rata basis according to their contracted working days.\n\n## 3. Carry-forward""]","[""annual_leave.md"", ""annual_leave.md"", ""annual_leave.md""]","[0.44559580087661743, 0.4782336950302124, 0.5130332112312317]",tfidf_filtered,"[""annual_leave.md""]","[{""source"": ""annual_leave.md"", ""score"": 0.343042}, {""source"": ""parental_leave.md"", ""score"": 0.135876}, {""source"": ""remote_work.md"", ""score"": 0.042288}, {""source"": ""expense_policy.md"", ""score"": 0.019881}, {""source"": ""travel_policy.md"", ""score"": 0.0086}]",0.06,1.885,0.5,,15.499,1.0,,10.122,0.6456221937375155,,0.089,27.656,GPT-5.6 Sol,1.0,1.0,1.0,correct,The 5-day carry-forward answer is explicitly supported by the new retrieved annual-leave contexts.,-0.5,0.0
q004,"If carried-over leave is still unused on 1 April, what normally happens, and what can prevent that outcome?",It normally expires after 31 March unless HR approved an exception in writing.,"If carried-over leave is still unused on 1 April, it normally expires after 31 March of the following year unless HR has approved an exception in writing.","[""## 3. Carry-forward\n\nEmployees may carry forward a maximum of **5 unused annual-leave days** into the following calendar year.\n\nCarried-forward leave must normally be used by **31 March** of the following year. Any remaining carried-forward leave expires after that date unless HR has approved an exception in writing.\n\n## 4. Leave requests\n\nLeave of **5 consecutive working days or fewer** should normally be requested at least **5 working days in advance**.\n\nLeave of **more than 5 consecutive working days** should normally be requested at least **3 weeks in advance**.\n\nAll annual-leave requests require approval from the employee's direct manager.\n\n## 5. Probation"", ""## 7. Examples\n\n- An employee contracted in Germany with 8 unused days at year-end may carry forward only 5 days.\n- An employee contracted in Pakistan with 3 unused days may carry all 3 days forward.\n- A Germany-based employee temporarily working from Pakistan still follows the Germany annual-leave entitlement unless the employment contract is changed."", ""Unused annual leave remains governed by **Annual Leave Policy HR-LEV-0101**, including its carry-forward rules.\n\n## 7. Examples\n\n- An eligible full-time employee with 18 months of service may receive up to 5 company-paid transition days.\n- An employee with only 8 months of continuous service is not eligible for the company-paid transition days under this policy, although statutory rights may still apply.\n- A returning employee requesting temporary remote work must also consider HR-RMT-0204.""]","[""annual_leave.md"", ""annual_leave.md"", ""parental_leave.md""]","[0.4156091511249542, 0.48923009634017944, 0.521397054195404]",tfidf_filtered,"[""annual_leave.md"", ""parental_leave.md""]","[{""source"": ""annual_leave.md"", ""score"": 0.24893}, {""source"": ""parental_leave.md"", ""score"": 0.137234}, {""source"": ""remote_work.md"", ""score"": 0.026278}, {""source"": ""expense_policy.md"", ""score"": 0.0}, {""source"": ""travel_policy.md"", ""score"": 0.0}]",0.05,1.244,1.0,,15.668,1.0,,12.959,0.8668990457339801,,0.112,30.033,GPT-5.6 Sol,1.0,1.0,1.0,correct,"Answer is factually correct, directly relevant, and its substantive claims are supported by the retrieved context.",0.0,0.0
q005,Someone wants six consecutive working days off. What notice period should they normally allow?,At least 3 weeks in advance.,The notice period for a six consecutive working days off is 3 weeks in advance.,"[""## 3. Carry-forward\n\nEmployees may carry forward a maximum of **5 unused annual-leave days** into the following calendar year.\n\nCarried-forward leave must normally be used by **31 March** of the following year. Any remaining carried-forward leave expires after that date unless HR has approved an exception in writing.\n\n## 4. Leave requests\n\nLeave of **5 consecutive working days or fewer** should normally be requested at least **5 working days in advance**.\n\nLeave of **more than 5 consecutive working days** should normally be requested at least **3 weeks in advance**.\n\nAll annual-leave requests require approval from the employee's direct manager.\n\n## 5. Probation"", ""## 7. Examples\n\n- An employee contracted in Germany with 8 unused days at year-end may carry forward only 5 days.\n- An employee contracted in Pakistan with 3 unused days may carry all 3 days forward.\n- A Germany-based employee temporarily working from Pakistan still follows the Germany annual-leave entitlement unless the employment contract is changed."", ""# FakeCompanyABC Annual Leave Policy\n\n## 1. Purpose\n\nThis policy defines annual paid leave, carry-forward rules, and the process for requesting leave at FakeCompanyABC.\n\n## 2. Annual leave entitlement\n\nAnnual leave depends on the employee's contractual work location.\n\n### Germany\n\nFull-time employees whose contractual work location is Germany receive **30 working days of paid annual leave per calendar year**.\n\n### Pakistan\n\nFull-time employees whose contractual work location is Pakistan receive **24 working days of paid annual leave per calendar year**.\n\nPart-time employees receive annual leave on a pro-rata basis according to their contracted working days.\n\n## 3. Carry-forward""]","[""annual_leave.md"", ""annual_leave.md"", ""annual_leave.md""]","[0.5388510227203369, 0.6055654287338257, 0.6127136945724487]",tfidf_filtered,"[""annual_leave.md""]","[{""source"": ""annual_leave.md"", ""score"": 0.20556}, {""source"": ""remote_work.md"", ""score"": 0.086179}, {""source"": ""parental_leave.md"", ""score"": 0.063641}, {""source"": ""expense_policy.md"", ""score"": 0.009346}, {""source"": ""travel_policy.md"", ""score"": 0.0}]",0.047,0.981,0.0,,10.955,1.0,,9.572,0.7985908166729915,,0.087,21.641,GPT-5.6 Sol,1.0,1.0,1.0,correct,Correctly gives 3 weeks for more than 5 consecutive working days; directly supported by context.,-1.0,0.0
q006,Someone wants exactly five consecutive working days off. What notice period normally applies?,At least 5 working days in advance.,The normal notice period for requesting exactly five consecutive working days off is 3 weeks in advance.,"[""## 3. Carry-forward\n\nEmployees may carry forward a maximum of **5 unused annual-leave days** into the following calendar year.\n\nCarried-forward leave must normally be used by **31 March** of the following year. Any remaining carried-forward leave expires after that date unless HR has approved an exception in writing.\n\n## 4. Leave requests\n\nLeave of **5 consecutive working days or fewer** should normally be requested at least **5 working days in advance**.\n\nLeave of **more than 5 consecutive working days** should normally be requested at least **3 weeks in advance**.\n\nAll annual-leave requests require approval from the employee's direct manager.\n\n## 5. Probation"", ""## 7. Examples\n\n- An employee contracted in Germany with 8 unused days at year-end may carry forward only 5 days.\n- An employee contracted in Pakistan with 3 unused days may carry all 3 days forward.\n- A Germany-based employee temporarily working from Pakistan still follows the Germany annual-leave entitlement unless the employment contract is changed."", ""# FakeCompanyABC Annual Leave Policy\n\n## 1. Purpose\n\nThis policy defines annual paid leave, carry-forward rules, and the process for requesting leave at FakeCompanyABC.\n\n## 2. Annual leave entitlement\n\nAnnual leave depends on the employee's contractual work location.\n\n### Germany\n\nFull-time employees whose contractual work location is Germany receive **30 working days of paid annual leave per calendar year**.\n\n### Pakistan\n\nFull-time employees whose contractual work location is Pakistan receive **24 working days of paid annual leave per calendar year**.\n\nPart-time employees receive annual leave on a pro-rata basis according to their contracted working days.\n\n## 3. Carry-forward""]","[""annual_leave.md"", ""annual_leave.md"", ""annual_leave.md""]","[0.5263413190841675, 0.5951073169708252, 0.5996553301811218]",tfidf_filtered,"[""annual_leave.md""]","[{""source"": ""annual_leave.md"", ""score"": 0.197305}, {""source"": ""remote_work.md"", ""score"": 0.082718}, {""source"": ""parental_leave.md"", ""score"": 0.068699}, {""source"": ""expense_policy.md"", ""score"": 0.00897}, {""source"": ""travel_policy.md"", ""score"": 0.007957}]",0.056,0.885,0.0,,13.284,0.0,,11.592,0.8192576208852221,,0.099,25.916,GPT-5.6 Sol,0.0,0.0,1.0,incorrect,"Says 3 weeks for exactly 5 days, but context/reference require at least 5 working days.",0.0,0.0
q007,How does the normal advance-notice rule change when a leave request goes from exactly 5 consecutive working days to 6?,Exactly 5 days normally needs 5 working days of notice; more than 5 days normally needs at least 3 weeks.,"The normal advance-notice rule changes when a leave request goes from exactly 5 consecutive working days to 6. For a request of 5 consecutive working days, it must be requested at least 5 working days in advance. For a request of 6 consecutive working days, it must be requested at least 3 weeks in advance.","[""## 3. Carry-forward\n\nEmployees may carry forward a maximum of **5 unused annual-leave days** into the following calendar year.\n\nCarried-forward leave must normally be used by **31 March** of the following year. Any remaining carried-forward leave expires after that date unless HR has approved an exception in writing.\n\n## 4. Leave requests\n\nLeave of **5 consecutive working days or fewer** should normally be requested at least **5 working days in advance**.\n\nLeave of **more than 5 consecutive working days** should normally be requested at least **3 weeks in advance**.\n\nAll annual-leave requests require approval from the employee's direct manager.\n\n## 5. Probation"", ""# FakeCompanyABC Annual Leave Policy\n\n## 1. Purpose\n\nThis policy defines annual paid leave, carry-forward rules, and the process for requesting leave at FakeCompanyABC.\n\n## 2. Annual leave entitlement\n\nAnnual leave depends on the employee's contractual work location.\n\n### Germany\n\nFull-time employees whose contractual work location is Germany receive **30 working days of paid annual leave per calendar year**.\n\n### Pakistan\n\nFull-time employees whose contractual work location is Pakistan receive **24 working days of paid annual leave per calendar year**.\n\nPart-time employees receive annual leave on a pro-rata basis according to their contracted working days.\n\n## 3. Carry-forward"", ""## 7. Examples\n\n- An employee contracted in Germany with 8 unused days at year-end may carry forward only 5 days.\n- An employee contracted in Pakistan with 3 unused days may carry all 3 days forward.\n- A Germany-based employee temporarily working from Pakistan still follows the Germany annual-leave entitlement unless the employment contract is changed.""]","[""annual_leave.md"", ""annual_leave.md"", ""annual_leave.md""]","[0.5217544436454773, 0.6119462251663208, 0.6138724684715271]",tfidf_filtered,"[""annual_leave.md""]","[{""source"": ""annual_leave.md"", ""score"": 0.330678}, {""source"": ""parental_leave.md"", ""score"": 0.159408}, {""source"": ""remote_work.md"", ""score"": 0.084688}, {""source"": ""expense_policy.md"", ""score"": 0.014658}, {""source"": ""travel_policy.md"", ""score"": 0.007619}]",0.065,2.537,0.6666666666666666,,23.137,1.0,,25.611,0.8590705144160643,,0.146,51.496,GPT-5.6 Sol,1.0,1.0,1.0,correct,Correctly states both sides of the threshold: 5 days -> 5 working days notice; 6 days -> 3 weeks.,-0.33333333333333337,0.0
q008,Does giving sufficient advance notice remove the need for manager approval for annual leave?,No. All annual-leave requests still require approval from the direct manager.,No.,"[""All annual-leave requests require approval from the employee's direct manager.\n\n## 5. Probation\n\nEmployees may request annual leave during probation, but approval depends on business needs and manager approval. The annual entitlement itself is not reduced because an employee is on probation.\n\n## 6. Important interpretation note\n\nThe annual entitlement is based on the employee's **contractual work location**, not nationality, citizenship, or the country from which the employee happens to work temporarily.\n\n## 7. Examples"", ""Unused annual leave remains governed by **Annual Leave Policy HR-LEV-0101**, including its carry-forward rules.\n\n## 7. Examples\n\n- An eligible full-time employee with 18 months of service may receive up to 5 company-paid transition days.\n- An employee with only 8 months of continuous service is not eligible for the company-paid transition days under this policy, although statutory rights may still apply.\n- A returning employee requesting temporary remote work must also consider HR-RMT-0204."", ""## 3. Carry-forward\n\nEmployees may carry forward a maximum of **5 unused annual-leave days** into the following calendar year.\n\nCarried-forward leave must normally be used by **31 March** of the following year. Any remaining carried-forward leave expires after that date unless HR has approved an exception in writing.\n\n## 4. Leave requests\n\nLeave of **5 consecutive working days or fewer** should normally be requested at least **5 working days in advance**.\n\nLeave of **more than 5 consecutive working days** should normally be requested at least **3 weeks in advance**.\n\nAll annual-leave requests require approval from the employee's direct manager.\n\n## 5. Probation""]","[""annual_leave.md"", ""parental_leave.md"", ""annual_leave.md""]","[0.5082064867019653, 0.5995987057685852, 0.6049336791038513]",tfidf_filtered,"[""annual_leave.md"", ""parental_leave.md""]","[{""source"": ""annual_leave.md"", ""score"": 0.368504}, {""source"": ""parental_leave.md"", ""score"": 0.217115}, {""source"": ""remote_work.md"", ""score"": 0.072401}, {""source"": ""travel_policy.md"", ""score"": 0.037934}, {""source"": ""expense_policy.md"", ""score"": 0.00698}]",0.054,1.576,1.0,,12.411,0.67,,8.993,0.596376904101782,,0.091,23.126,GPT-5.6 Sol,1.0,1.0,1.0,correct,"Answer is factually correct, directly relevant, and its substantive claims are supported by the retrieved context.",0.0,-0.32999999999999996
q009,Does being on probation reduce a full-time employee’s annual-leave entitlement?,"No. The entitlement itself is not reduced during probation, although requests still depend on business needs and manager approval.",No. Being on probation does not reduce a full-time employee’s annual-leave entitlement.,"[""All annual-leave requests require approval from the employee's direct manager.\n\n## 5. Probation\n\nEmployees may request annual leave during probation, but approval depends on business needs and manager approval. The annual entitlement itself is not reduced because an employee is on probation.\n\n## 6. Important interpretation note\n\nThe annual entitlement is based on the employee's **contractual work location**, not nationality, citizenship, or the country from which the employee happens to work temporarily.\n\n## 7. Examples"", ""Unused annual leave remains governed by **Annual Leave Policy HR-LEV-0101**, including its carry-forward rules.\n\n## 7. Examples\n\n- An eligible full-time employee with 18 months of service may receive up to 5 company-paid transition days.\n- An employee with only 8 months of continuous service is not eligible for the company-paid transition days under this policy, although statutory rights may still apply.\n- A returning employee requesting temporary remote work must also consider HR-RMT-0204."", ""# FakeCompanyABC Annual Leave Policy\n\n## 1. Purpose\n\nThis policy defines annual paid leave, carry-forward rules, and the process for requesting leave at FakeCompanyABC.\n\n## 2. Annual leave entitlement\n\nAnnual leave depends on the employee's contractual work location.\n\n### Germany\n\nFull-time employees whose contractual work location is Germany receive **30 working days of paid annual leave per calendar year**.\n\n### Pakistan\n\nFull-time employees whose contractual work location is Pakistan receive **24 working days of paid annual leave per calendar year**.\n\nPart-time employees receive annual leave on a pro-rata basis according to their contracted working days.\n\n## 3. Carry-forward""]","[""annual_leave.md"", ""parental_leave.md"", ""annual_leave.md""]","[0.29047656059265137, 0.5372090935707092, 0.5995030999183655]",tfidf_filtered,"[""annual_leave.md"", ""parental_leave.md""]","[{""source"": ""annual_leave.md"", ""score"": 0.419408}, {""source"": ""parental_leave.md"", ""score"": 0.248138}, {""source"": ""expense_policy.md"", ""score"": 0.006567}, {""source"": ""remote_work.md"", ""score"": 0.005936}, {""source"": ""travel_policy.md"", ""score"": 0.0}]",0.059,1.151,1.0,,10.933,1.0,,10.618,0.8706722536893329,,0.119,22.881,GPT-5.6 Sol,1.0,1.0,1.0,correct,"Answer is factually correct, directly relevant, and its substantive claims are supported by the retrieved context.",0.0,0.0
q010,How is annual leave determined for a part-time employee?,It is calculated on a pro-rata basis according to contracted working days.,"The annual leave is determined based on the employee's contractual work location. For part-time employees, the annual leave is calculated on a pro-rata basis according to their contracted working days.","[""Unused annual leave remains governed by **Annual Leave Policy HR-LEV-0101**, including its carry-forward rules.\n\n## 7. Examples\n\n- An eligible full-time employee with 18 months of service may receive up to 5 company-paid transition days.\n- An employee with only 8 months of continuous service is not eligible for the company-paid transition days under this policy, although statutory rights may still apply.\n- A returning employee requesting temporary remote work must also consider HR-RMT-0204."", ""All annual-leave requests require approval from the employee's direct manager.\n\n## 5. Probation\n\nEmployees may request annual leave during probation, but approval depends on business needs and manager approval. The annual entitlement itself is not reduced because an employee is on probation.\n\n## 6. Important interpretation note\n\nThe annual entitlement is based on the employee's **contractual work location**, not nationality, citizenship, or the country from which the employee happens to work temporarily.\n\n## 7. Examples"", ""# FakeCompanyABC Annual Leave Policy\n\n## 1. Purpose\n\nThis policy defines annual paid leave, carry-forward rules, and the process for requesting leave at FakeCompanyABC.\n\n## 2. Annual leave entitlement\n\nAnnual leave depends on the employee's contractual work location.\n\n### Germany\n\nFull-time employees whose contractual work location is Germany receive **30 working days of paid annual leave per calendar year**.\n\n### Pakistan\n\nFull-time employees whose contractual work location is Pakistan receive **24 working days of paid annual leave per calendar year**.\n\nPart-time employees receive annual leave on a pro-rata basis according to their contracted working days.\n\n## 3. Carry-forward""]","[""parental_leave.md"", ""annual_leave.md"", ""annual_leave.md""]","[0.43114882707595825, 0.46102824807167053, 0.49260440468788147]",tfidf_filtered,"[""annual_leave.md"", ""parental_leave.md""]","[{""source"": ""annual_leave.md"", ""score"": 0.482198}, {""source"": ""parental_leave.md"", ""score"": 0.3061}, {""source"": ""expense_policy.md"", ""score"": 0.0}, {""source"": ""remote_work.md"", ""score"": 0.0}, {""source"": ""travel_policy.md"", ""score"": 0.0}]",0.049,1.973,1.0,,14.658,0.67,,14.397,0.8105414387733427,,0.12,31.197,GPT-5.6 Sol,1.0,1.0,1.0,correct,"Answer is factually correct, directly relevant, and its substantive claims are supported by the retrieved context.",0.0,-0.32999999999999996
