id,question,reference_answer,generated_answer,retrieved_contexts,retrieved_sources,retrieval_distances,retrieval_time_seconds,generation_time_seconds,faithfulness,faithfulness_error,faithfulness_time_seconds,factual_correctness,factual_correctness_error,factual_correctness_time_seconds,semantic_similarity,semantic_similarity_error,semantic_similarity_time_seconds,question_time_seconds,evaluator_model,gpt56_faithfulness,gpt56_factual_correctness,gpt56_answer_relevancy,gpt56_factual_band,gpt56_judgment_note,qwen_minus_gpt56_faithfulness,qwen_minus_gpt56_factual_correctness
q001,A full-time employee is German but their employment contract is based in Pakistan. How much annual leave does the company policy give them each year?,"24 working days, because entitlement follows contractual work location rather than nationality.",The company policy gives a full-time German employee **24 working days of paid annual leave** per calendar year.,"[""# FakeCompanyABC Annual Leave Policy\n\n## 1. Purpose\n\nThis policy defines annual paid leave, carry-forward rules, and the process for requesting leave at FakeCompanyABC.\n\n## 2. Annual leave entitlement\n\nAnnual leave depends on the employee's contractual work location.\n\n### Germany\n\nFull-time employees whose contractual work location is Germany receive **30 working days of paid annual leave per calendar year**.\n\n### Pakistan\n\nFull-time employees whose contractual work location is Pakistan receive **24 working days of paid annual leave per calendar year**.\n\nPart-time employees receive annual leave on a pro-rata basis according to their contracted working days.\n\n## 3. Carry-forward"", ""## 7. Examples\n\n- An employee contracted in Germany with 8 unused days at year-end may carry forward only 5 days.\n- An employee contracted in Pakistan with 3 unused days may carry all 3 days forward.\n- A Germany-based employee temporarily working from Pakistan still follows the Germany annual-leave entitlement unless the employment contract is changed."", ""# FakeCompanyABC Remote Work Policy\n\n## 1. Standard remote-work allowance\n\nRemote-work allowances depend on contractual work location and team requirements.\n\n### Germany\n\nEmployees contracted in Germany may normally work remotely for up to **3 days per week**, subject to manager approval and team scheduling.\n\nEmployees are normally expected to work from a FakeCompanyABC office at least **2 days per week**.\n\n### Pakistan\n\nEmployees contracted in Pakistan may normally work remotely for up to **2 days per week**, subject to manager approval and team scheduling.\n\nEmployees are normally expected to work from a FakeCompanyABC office at least **3 days per week**.\n\n## 2. Working from another country""]","[""annual_leave.md"", ""annual_leave.md"", ""remote_work.md""]","[0.3526400923728943, 0.41516444087028503, 0.5100643634796143]",0.067,1.049,1.0,,10.191,0.0,,12.9,0.7698913822335599,,0.107,24.313,GPT-5.6 Sol,1.00,1.00,1.00,High,"Answer is factually correct, directly relevant, and its substantive claims are supported by the retrieved context.",0.0000,-1.0000
q002,"A Germany-contracted employee spends several months temporarily working from Pakistan. Without a contract change, which annual-leave entitlement continues to apply?",The Germany entitlement continues to apply: 30 working days per calendar year.,"The annual-leave entitlement continues to apply as per the context, which states that a Germany-based employee with a temporary work location in Pakistan still follows the Germany annual-leave entitlement unless the employment contract is changed. Therefore, the answer is 30 working days.","[""## 7. Examples\n\n- An employee contracted in Germany with 8 unused days at year-end may carry forward only 5 days.\n- An employee contracted in Pakistan with 3 unused days may carry all 3 days forward.\n- A Germany-based employee temporarily working from Pakistan still follows the Germany annual-leave entitlement unless the employment contract is changed."", ""# FakeCompanyABC Annual Leave Policy\n\n## 1. Purpose\n\nThis policy defines annual paid leave, carry-forward rules, and the process for requesting leave at FakeCompanyABC.\n\n## 2. Annual leave entitlement\n\nAnnual leave depends on the employee's contractual work location.\n\n### Germany\n\nFull-time employees whose contractual work location is Germany receive **30 working days of paid annual leave per calendar year**.\n\n### Pakistan\n\nFull-time employees whose contractual work location is Pakistan receive **24 working days of paid annual leave per calendar year**.\n\nPart-time employees receive annual leave on a pro-rata basis according to their contracted working days.\n\n## 3. Carry-forward"", ""# FakeCompanyABC Remote Work Policy\n\n## 1. Standard remote-work allowance\n\nRemote-work allowances depend on contractual work location and team requirements.\n\n### Germany\n\nEmployees contracted in Germany may normally work remotely for up to **3 days per week**, subject to manager approval and team scheduling.\n\nEmployees are normally expected to work from a FakeCompanyABC office at least **2 days per week**.\n\n### Pakistan\n\nEmployees contracted in Pakistan may normally work remotely for up to **2 days per week**, subject to manager approval and team scheduling.\n\nEmployees are normally expected to work from a FakeCompanyABC office at least **3 days per week**.\n\n## 2. Working from another country""]","[""annual_leave.md"", ""annual_leave.md"", ""remote_work.md""]","[0.3185916543006897, 0.3961045742034912, 0.5326530337333679]",0.063,1.369,1.0,,20.59,0.5,,17.521,0.8907815016393296,,0.231,39.775,GPT-5.6 Sol,1.00,1.00,1.00,High,"Answer is factually correct, directly relevant, and its substantive claims are supported by the retrieved context.",0.0000,-0.5000
q003,An employee finishes the year with 8 unused leave days. What is the maximum number the policy lets them take into the next year?,5 days.,The maximum number the policy lets an employee take into the next year is 5 unused annual-leave days.,"[""Unused annual leave remains governed by **Annual Leave Policy HR-LEV-0101**, including its carry-forward rules.\n\n## 7. Examples\n\n- An eligible full-time employee with 18 months of service may receive up to 5 company-paid transition days.\n- An employee with only 8 months of continuous service is not eligible for the company-paid transition days under this policy, although statutory rights may still apply.\n- A returning employee requesting temporary remote work must also consider HR-RMT-0204."", ""## 3. Carry-forward\n\nEmployees may carry forward a maximum of **5 unused annual-leave days** into the following calendar year.\n\nCarried-forward leave must normally be used by **31 March** of the following year. Any remaining carried-forward leave expires after that date unless HR has approved an exception in writing.\n\n## 4. Leave requests\n\nLeave of **5 consecutive working days or fewer** should normally be requested at least **5 working days in advance**.\n\nLeave of **more than 5 consecutive working days** should normally be requested at least **3 weeks in advance**.\n\nAll annual-leave requests require approval from the employee's direct manager.\n\n## 5. Probation"", ""## 7. Examples\n\n- An employee contracted in Germany with 8 unused days at year-end may carry forward only 5 days.\n- An employee contracted in Pakistan with 3 unused days may carry all 3 days forward.\n- A Germany-based employee temporarily working from Pakistan still follows the Germany annual-leave entitlement unless the employment contract is changed.""]","[""parental_leave.md"", ""annual_leave.md"", ""annual_leave.md""]","[0.3611097037792206, 0.44559580087661743, 0.4782336950302124]",0.07,0.664,0.5,,14.07,1.0,,9.291,0.6456221937375155,,0.129,24.224,GPT-5.6 Sol,1.00,1.00,1.00,High,"Answer is factually correct, directly relevant, and its substantive claims are supported by the retrieved context.",-0.5000,0.0000
q004,"If carried-over leave is still unused on 1 April, what normally happens, and what can prevent that outcome?",It normally expires after 31 March unless HR approved an exception in writing.,"If carried-over leave is still unused on 1 April, it normally expires after 31 March of the following year unless HR has approved an exception in writing.","[""## 3. Carry-forward\n\nEmployees may carry forward a maximum of **5 unused annual-leave days** into the following calendar year.\n\nCarried-forward leave must normally be used by **31 March** of the following year. Any remaining carried-forward leave expires after that date unless HR has approved an exception in writing.\n\n## 4. Leave requests\n\nLeave of **5 consecutive working days or fewer** should normally be requested at least **5 working days in advance**.\n\nLeave of **more than 5 consecutive working days** should normally be requested at least **3 weeks in advance**.\n\nAll annual-leave requests require approval from the employee's direct manager.\n\n## 5. Probation"", ""## 7. Examples\n\n- An employee contracted in Germany with 8 unused days at year-end may carry forward only 5 days.\n- An employee contracted in Pakistan with 3 unused days may carry all 3 days forward.\n- A Germany-based employee temporarily working from Pakistan still follows the Germany annual-leave entitlement unless the employment contract is changed."", ""Unused annual leave remains governed by **Annual Leave Policy HR-LEV-0101**, including its carry-forward rules.\n\n## 7. Examples\n\n- An eligible full-time employee with 18 months of service may receive up to 5 company-paid transition days.\n- An employee with only 8 months of continuous service is not eligible for the company-paid transition days under this policy, although statutory rights may still apply.\n- A returning employee requesting temporary remote work must also consider HR-RMT-0204.""]","[""annual_leave.md"", ""annual_leave.md"", ""parental_leave.md""]","[0.4156091511249542, 0.48923009634017944, 0.521397054195404]",0.053,0.906,1.0,,14.611,1.0,,12.032,0.8668990457339801,,0.132,27.734,GPT-5.6 Sol,1.00,1.00,1.00,High,"Answer is factually correct, directly relevant, and its substantive claims are supported by the retrieved context.",0.0000,0.0000
q005,Someone wants six consecutive working days off. What notice period should they normally allow?,At least 3 weeks in advance.,The notice period should be at least 5 working days in advance.,"[""Unused annual leave remains governed by **Annual Leave Policy HR-LEV-0101**, including its carry-forward rules.\n\n## 7. Examples\n\n- An eligible full-time employee with 18 months of service may receive up to 5 company-paid transition days.\n- An employee with only 8 months of continuous service is not eligible for the company-paid transition days under this policy, although statutory rights may still apply.\n- A returning employee requesting temporary remote work must also consider HR-RMT-0204."", ""## 3. Carry-forward\n\nEmployees may carry forward a maximum of **5 unused annual-leave days** into the following calendar year.\n\nCarried-forward leave must normally be used by **31 March** of the following year. Any remaining carried-forward leave expires after that date unless HR has approved an exception in writing.\n\n## 4. Leave requests\n\nLeave of **5 consecutive working days or fewer** should normally be requested at least **5 working days in advance**.\n\nLeave of **more than 5 consecutive working days** should normally be requested at least **3 weeks in advance**.\n\nAll annual-leave requests require approval from the employee's direct manager.\n\n## 5. Probation"", ""## 3. Company-paid transition days\n\nIn addition to any statutory entitlement, eligible full-time employees who have completed at least **12 months of continuous service** may receive up to **5 company-paid transition days** associated with the birth or adoption of a child.\n\nThese transition days are separate from annual leave.\n\nPart-time employees receive transition days on a pro-rata basis.\n\n## 4. Return-to-work arrangement\n\nAn employee returning from parental leave may request a temporary reduced-work schedule for up to **8 weeks**.\n\nThe request should normally be submitted at least **4 weeks before** the planned return date.""]","[""parental_leave.md"", ""annual_leave.md"", ""parental_leave.md""]","[0.5285084843635559, 0.5388510227203369, 0.5432902574539185]",0.051,1.125,0.0,,10.904,0.0,,8.62,0.8173258407041655,,0.095,20.795,GPT-5.6 Sol,0.00,0.00,1.00,Low,"Incorrect notice period: six consecutive working days require at least 3 weeks, not 5 working days.",0.0000,0.0000
q006,Someone wants exactly five consecutive working days off. What notice period normally applies?,At least 5 working days in advance.,The normal notice period for someone wanting exactly five consecutive working days off is 3 weeks in advance.,"[""Unused annual leave remains governed by **Annual Leave Policy HR-LEV-0101**, including its carry-forward rules.\n\n## 7. Examples\n\n- An eligible full-time employee with 18 months of service may receive up to 5 company-paid transition days.\n- An employee with only 8 months of continuous service is not eligible for the company-paid transition days under this policy, although statutory rights may still apply.\n- A returning employee requesting temporary remote work must also consider HR-RMT-0204."", ""## 3. Carry-forward\n\nEmployees may carry forward a maximum of **5 unused annual-leave days** into the following calendar year.\n\nCarried-forward leave must normally be used by **31 March** of the following year. Any remaining carried-forward leave expires after that date unless HR has approved an exception in writing.\n\n## 4. Leave requests\n\nLeave of **5 consecutive working days or fewer** should normally be requested at least **5 working days in advance**.\n\nLeave of **more than 5 consecutive working days** should normally be requested at least **3 weeks in advance**.\n\nAll annual-leave requests require approval from the employee's direct manager.\n\n## 5. Probation"", ""## 3. Company-paid transition days\n\nIn addition to any statutory entitlement, eligible full-time employees who have completed at least **12 months of continuous service** may receive up to **5 company-paid transition days** associated with the birth or adoption of a child.\n\nThese transition days are separate from annual leave.\n\nPart-time employees receive transition days on a pro-rata basis.\n\n## 4. Return-to-work arrangement\n\nAn employee returning from parental leave may request a temporary reduced-work schedule for up to **8 weeks**.\n\nThe request should normally be submitted at least **4 weeks before** the planned return date.""]","[""parental_leave.md"", ""annual_leave.md"", ""parental_leave.md""]","[0.5138907432556152, 0.5263413190841675, 0.5407727956771851]",0.048,0.745,0.0,,11.074,1.0,,10.054,0.8219707773893177,,0.099,22.02,GPT-5.6 Sol,0.00,0.00,1.00,Low,"Incorrect notice period: exactly five consecutive working days require at least 5 working days, not 3 weeks.",0.0000,1.0000
q007,How does the normal advance-notice rule change when a leave request goes from exactly 5 consecutive working days to 6?,Exactly 5 days normally needs 5 working days of notice; more than 5 days normally needs at least 3 weeks.,The normal advance-notice rule changes when a leave request goes from exactly 5 consecutive working days to 6. It should normally be requested at least 3 weeks in advance for a leave of more than 5 consecutive working days.,"[""The request should normally be submitted at least **4 weeks before** the planned return date.\n\nApproval depends on role requirements, local law, and agreement with HR and the employee's manager.\n\n## 5. Remote work after parental leave\n\nReturning from parental leave does not automatically create an additional remote-work allowance.\n\nAny remote-work arrangement must follow **Remote Work Policy HR-RMT-0204** unless a specific temporary exception is approved.\n\n## 6. Annual leave interaction\n\nCompany-paid transition days are not deducted from the employee's annual-leave balance.\n\nUnused annual leave remains governed by **Annual Leave Policy HR-LEV-0101**, including its carry-forward rules."", ""Unused annual leave remains governed by **Annual Leave Policy HR-LEV-0101**, including its carry-forward rules.\n\n## 7. Examples\n\n- An eligible full-time employee with 18 months of service may receive up to 5 company-paid transition days.\n- An employee with only 8 months of continuous service is not eligible for the company-paid transition days under this policy, although statutory rights may still apply.\n- A returning employee requesting temporary remote work must also consider HR-RMT-0204."", ""## 3. Carry-forward\n\nEmployees may carry forward a maximum of **5 unused annual-leave days** into the following calendar year.\n\nCarried-forward leave must normally be used by **31 March** of the following year. Any remaining carried-forward leave expires after that date unless HR has approved an exception in writing.\n\n## 4. Leave requests\n\nLeave of **5 consecutive working days or fewer** should normally be requested at least **5 working days in advance**.\n\nLeave of **more than 5 consecutive working days** should normally be requested at least **3 weeks in advance**.\n\nAll annual-leave requests require approval from the employee's direct manager.\n\n## 5. Probation""]","[""parental_leave.md"", ""parental_leave.md"", ""annual_leave.md""]","[0.5040636658668518, 0.5170401334762573, 0.5217544436454773]",0.086,2.623,1.0,,16.863,1.0,,20.653,0.8640377350864579,,0.153,40.38,GPT-5.6 Sol,1.00,0.75,0.75,Partial,"The >5-day rule is correct, but the requested comparison also required the exactly-5-day rule.",0.0000,0.2500
q008,Does giving sufficient advance notice remove the need for manager approval for annual leave?,No. All annual-leave requests still require approval from the direct manager.,No.,"[""All annual-leave requests require approval from the employee's direct manager.\n\n## 5. Probation\n\nEmployees may request annual leave during probation, but approval depends on business needs and manager approval. The annual entitlement itself is not reduced because an employee is on probation.\n\n## 6. Important interpretation note\n\nThe annual entitlement is based on the employee's **contractual work location**, not nationality, citizenship, or the country from which the employee happens to work temporarily.\n\n## 7. Examples"", ""Unused annual leave remains governed by **Annual Leave Policy HR-LEV-0101**, including its carry-forward rules.\n\n## 7. Examples\n\n- An eligible full-time employee with 18 months of service may receive up to 5 company-paid transition days.\n- An employee with only 8 months of continuous service is not eligible for the company-paid transition days under this policy, although statutory rights may still apply.\n- A returning employee requesting temporary remote work must also consider HR-RMT-0204."", ""## 3. Carry-forward\n\nEmployees may carry forward a maximum of **5 unused annual-leave days** into the following calendar year.\n\nCarried-forward leave must normally be used by **31 March** of the following year. Any remaining carried-forward leave expires after that date unless HR has approved an exception in writing.\n\n## 4. Leave requests\n\nLeave of **5 consecutive working days or fewer** should normally be requested at least **5 working days in advance**.\n\nLeave of **more than 5 consecutive working days** should normally be requested at least **3 weeks in advance**.\n\nAll annual-leave requests require approval from the employee's direct manager.\n\n## 5. Probation""]","[""annual_leave.md"", ""parental_leave.md"", ""annual_leave.md""]","[0.5082064867019653, 0.5995987057685852, 0.6049336791038513]",0.047,1.572,1.0,,10.718,0.67,,8.61,0.596376904101782,,0.089,21.037,GPT-5.6 Sol,1.00,1.00,1.00,High,"Answer is factually correct, directly relevant, and its substantive claims are supported by the retrieved context.",0.0000,-0.3300
q009,Does being on probation reduce a full-time employee’s annual-leave entitlement?,"No. The entitlement itself is not reduced during probation, although requests still depend on business needs and manager approval.",No. Being on probation does not reduce a full-time employee’s annual-leave entitlement.,"[""All annual-leave requests require approval from the employee's direct manager.\n\n## 5. Probation\n\nEmployees may request annual leave during probation, but approval depends on business needs and manager approval. The annual entitlement itself is not reduced because an employee is on probation.\n\n## 6. Important interpretation note\n\nThe annual entitlement is based on the employee's **contractual work location**, not nationality, citizenship, or the country from which the employee happens to work temporarily.\n\n## 7. Examples"", ""Unused annual leave remains governed by **Annual Leave Policy HR-LEV-0101**, including its carry-forward rules.\n\n## 7. Examples\n\n- An eligible full-time employee with 18 months of service may receive up to 5 company-paid transition days.\n- An employee with only 8 months of continuous service is not eligible for the company-paid transition days under this policy, although statutory rights may still apply.\n- A returning employee requesting temporary remote work must also consider HR-RMT-0204."", ""# FakeCompanyABC Annual Leave Policy\n\n## 1. Purpose\n\nThis policy defines annual paid leave, carry-forward rules, and the process for requesting leave at FakeCompanyABC.\n\n## 2. Annual leave entitlement\n\nAnnual leave depends on the employee's contractual work location.\n\n### Germany\n\nFull-time employees whose contractual work location is Germany receive **30 working days of paid annual leave per calendar year**.\n\n### Pakistan\n\nFull-time employees whose contractual work location is Pakistan receive **24 working days of paid annual leave per calendar year**.\n\nPart-time employees receive annual leave on a pro-rata basis according to their contracted working days.\n\n## 3. Carry-forward""]","[""annual_leave.md"", ""parental_leave.md"", ""annual_leave.md""]","[0.29047656059265137, 0.5372090935707092, 0.5995030999183655]",0.054,1.064,1.0,,10.175,1.0,,9.201,0.8706722536893329,,0.115,20.609,GPT-5.6 Sol,1.00,1.00,1.00,High,"Answer is factually correct, directly relevant, and its substantive claims are supported by the retrieved context.",0.0000,0.0000
q010,How is annual leave determined for a part-time employee?,It is calculated on a pro-rata basis according to contracted working days.,"The annual leave is determined based on the employee's contractual work location. For part-time employees, the annual leave is calculated on a pro-rata basis according to their contracted working days.","[""Unused annual leave remains governed by **Annual Leave Policy HR-LEV-0101**, including its carry-forward rules.\n\n## 7. Examples\n\n- An eligible full-time employee with 18 months of service may receive up to 5 company-paid transition days.\n- An employee with only 8 months of continuous service is not eligible for the company-paid transition days under this policy, although statutory rights may still apply.\n- A returning employee requesting temporary remote work must also consider HR-RMT-0204."", ""All annual-leave requests require approval from the employee's direct manager.\n\n## 5. Probation\n\nEmployees may request annual leave during probation, but approval depends on business needs and manager approval. The annual entitlement itself is not reduced because an employee is on probation.\n\n## 6. Important interpretation note\n\nThe annual entitlement is based on the employee's **contractual work location**, not nationality, citizenship, or the country from which the employee happens to work temporarily.\n\n## 7. Examples"", ""# FakeCompanyABC Annual Leave Policy\n\n## 1. Purpose\n\nThis policy defines annual paid leave, carry-forward rules, and the process for requesting leave at FakeCompanyABC.\n\n## 2. Annual leave entitlement\n\nAnnual leave depends on the employee's contractual work location.\n\n### Germany\n\nFull-time employees whose contractual work location is Germany receive **30 working days of paid annual leave per calendar year**.\n\n### Pakistan\n\nFull-time employees whose contractual work location is Pakistan receive **24 working days of paid annual leave per calendar year**.\n\nPart-time employees receive annual leave on a pro-rata basis according to their contracted working days.\n\n## 3. Carry-forward""]","[""parental_leave.md"", ""annual_leave.md"", ""annual_leave.md""]","[0.43114882707595825, 0.46102824807167053, 0.49260440468788147]",0.051,1.761,1.0,,13.651,0.67,,13.508,0.8105414387733427,,0.105,29.078,GPT-5.6 Sol,1.00,1.00,1.00,High,"Answer is factually correct, directly relevant, and its substantive claims are supported by the retrieved context.",0.0000,-0.3300
